entry_time,exit_time,side,mode,entry,exit,pnl,reason
2025-12-02 20:29:46.509487,2025-10-13 02:33:00,LONG,SCALP_BB,247.83,251.54745,3.4683808499999866,TAKE_PROFIT
2025-12-02 20:29:46.540098,2025-10-13 03:09:00,SHORT,SNIPER_FVG,251.37,252.61,-3.426120000000025,STOP_LOSS
2025-12-02 20:29:46.535932,2025-10-13 03:10:00,LONG,TREND_FOLLOWING,249.0,252.73499999999999,6.947099999999973,TAKE_PROFIT
2025-12-02 20:29:46.555938,2025-10-13 04:12:00,SHORT,SNIPER_FVG,252.54,252.61,-0.19397000000005984,STOP_LOSS
2025-12-02 20:29:46.570350,2025-10-13 05:34:00,SHORT,SNIPER_FVG,252.25,252.61,-0.9986400000000378,STOP_LOSS
2025-12-02 20:29:46.571593,2025-10-13 05:36:00,SHORT,SNIPER_FVG,252.46,252.61,-0.4152000000000157,STOP_LOSS
2025-12-02 20:29:46.546423,2025-10-13 07:28:00,LONG,TREND_FOLLOWING,253.07,248.0086,-9.333221599999986,STOP_LOSS
2025-12-02 20:29:46.552797,2025-10-13 07:28:00,LONG,SCALP_BB,252.46,248.6731,-3.4990956000000026,STOP_LOSS
2025-12-02 20:29:46.588434,2025-10-13 07:28:00,SHORT,SNIPER_FVG,251.97,248.19045,10.480692150000001,TAKE_PROFIT
2025-12-02 20:29:46.592638,2025-10-13 09:32:00,SHORT,TREND_FOLLOWING,247.86,252.8172,-9.2897928,STOP_LOSS
2025-12-02 20:29:46.612102,2025-10-13 09:32:00,SHORT,SNIPER_FVG,251.61,252.61,-2.77,STOP_LOSS
2025-12-02 20:29:46.612638,2025-10-13 09:59:00,SHORT,SNIPER_FVG,252.39,252.61,-0.5995000000000744,STOP_LOSS
2025-12-02 20:29:46.617172,2025-10-13 10:27:00,SHORT,SNIPER_FVG,252.14,248.35789999999997,10.310004600000038,TAKE_PROFIT
2025-12-02 20:29:46.630587,2025-10-13 12:01:00,SHORT,SNIPER_FVG,251.61,252.61,-2.763,STOP_LOSS
2025-12-02 20:29:46.642977,2025-10-13 12:56:00,SHORT,SNIPER_FVG,252.35,252.61,-0.7139600000000531,STOP_LOSS
2025-12-02 20:29:46.612841,2025-10-13 13:06:00,LONG,TREND_FOLLOWING,250.99,254.75484999999998,6.87838094999994,TAKE_PROFIT
2025-12-02 20:29:46.641460,2025-10-13 13:07:00,LONG,SCALP_BB,251.15,254.91724999999997,3.4658699999999647,TAKE_PROFIT
2025-12-02 20:29:46.649425,2025-10-13 14:30:00,LONG,TREND_FOLLOWING,253.94,257.7491,7.001125800000001,TAKE_PROFIT
2025-12-02 20:29:46.663593,2025-10-13 16:45:00,LONG,TREND_FOLLOWING,257.48,261.3422,7.05623939999995,TAKE_PROFIT
2025-12-02 20:29:46.686961,2025-10-13 23:04:00,LONG,TREND_FOLLOWING,260.84,255.62319999999997,-9.47892560000001,STOP_LOSS
2025-12-02 20:29:46.726357,2025-10-13 23:04:00,LONG,SCALP_BB,259.47,255.57795000000002,-3.553441650000011,STOP_LOSS
2025-12-02 20:29:46.751580,2025-10-14 00:40:00,SHORT,SNIPER_FVG,255.4,251.569,10.516095000000048,TAKE_PROFIT
2025-12-02 20:29:46.754675,2025-10-14 00:51:00,SHORT,TREND_FOLLOWING,253.97,250.16045,7.009572000000003,TAKE_PROFIT
2025-12-02 20:29:46.769056,2025-10-14 01:12:00,SHORT,SNIPER_FVG,251.71,252.61,-2.553300000000016,STOP_LOSS
2025-12-02 20:29:46.768422,2025-10-14 02:33:00,SHORT,TREND_FOLLOWING,250.62,246.8607,7.142669999999992,TAKE_PROFIT
